################################################################################
# Collectl:   V3.6.9-1  HiRes: 1  Options: -i 5 --iosize -oD -scdmnj -P --sep , -f myfile.out 
# Host:       stackstorm-fe68isa7  DaemonOpts: 
# Booted:     1472500079.32 [20160829-19:47:59]
# Distro:     debian jessie/sid, Ubuntu 14.04.4 LTS  Platform: 
# Date:       20160903-213522  Secs: 1472938522 TZ: +0000
# SubSys:     cdmnj Options: D Interval: 5 NumCPUs: 1  NumBud: 0 Flags: i
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2194.679 Cores: 1  Siblings: 1 Nodes: 1
# Kernel:     3.19.0-49-generic  Memory: 3523128 kB  Swap: 4194300 kB
# NumDisks:   2 DiskNames: sda sdb
# NumNets:    6 NetNames: veth4b26ff5:10000 eth0:?? vethbf7c388:10000 docker0:?? veth505a383:10000 lo:??
# SCSI:       DA:2:00:00:00 DA:3:00:01:00
################################################################################
#Date,Time,[CPU]User%,[CPU]Nice%,[CPU]Sys%,[CPU]Wait%,[CPU]Irq%,[CPU]Soft%,[CPU]Steal%,[CPU]Idle%,[CPU]Totl%,[CPU]Intrpt/sec,[CPU]Ctx/sec,[CPU]Proc/sec,[CPU]ProcQue,[CPU]ProcRun,[CPU]L-Avg1,[CPU]L-Avg5,[CPU]L-Avg15,[CPU]RunTot,[CPU]BlkTot,[MEM]Tot,[MEM]Used,[MEM]Free,[MEM]Shared,[MEM]Buf,[MEM]Cached,[MEM]Slab,[MEM]Map,[MEM]Anon,[MEM]Commit,[MEM]Locked,[MEM]SwapTot,[MEM]SwapUsed,[MEM]SwapFree,[MEM]SwapIn,[MEM]SwapOut,[MEM]Dirty,[MEM]Clean,[MEM]Laundry,[MEM]Inactive,[MEM]PageIn,[MEM]PageOut,[MEM]PageFaults,[MEM]PageMajFaults,[MEM]HugeTotal,[MEM]HugeFree,[MEM]HugeRsvd,[MEM]SUnreclaim,[NET]RxPktTot,[NET]TxPktTot,[NET]RxKBTot,[NET]TxKBTot,[NET]RxCmpTot,[NET]RxMltTot,[NET]TxCmpTot,[NET]RxErrsTot,[NET]TxErrsTot,[DSK]ReadTot,[DSK]WriteTot,[DSK]OpsTot,[DSK]ReadKBTot,[DSK]WriteKBTot,[DSK]KbTot,[DSK]ReadMrgTot,[DSK]WriteMrgTot,[DSK]MrgTot
20160903,22:11:43,97,0,3,0,0,0,0,0,100,18,1325,0,387,1,23.17,20.24,15.41,1,34,3523128,1444712,2078416,0,5164,861472,75872,32780,335936,2327188,0,4194300,1070676,3123624,1,0,373424,0,0,825772,6,14782,190,1,0,0,0,27684,13,18,2,5,0,0,0,0,0,1,42,44,6,18060,18066,0,10,10
20160903,22:11:48,31,0,6,44,0,0,0,18,38,18,1436,0,356,0,21.40,19.92,15.34,0,0,3523128,580120,2943008,0,5216,52024,54264,32952,304364,2299532,0,4194300,1070632,3123668,2,0,2836,0,0,19116,12,11645,181,2,0,0,0,26476,6,12,1,4,0,0,0,0,0,3,83,86,13,124063,124076,1,14,14
20160903,22:11:53,10,0,3,1,0,0,0,86,13,18,1259,1,356,0,19.69,19.59,15.25,0,0,3523128,580172,2942956,0,5224,52044,54192,32952,304420,2299532,0,4194300,1070616,3123684,2,0,688,0,0,19108,10,608,242,3,0,0,0,26404,8,11,1,3,0,0,0,0,0,3,120,122,10,608,618,0,7,7
20160903,22:11:58,6,0,2,0,0,0,0,91,9,18,1233,0,356,1,18.11,19.26,15.17,1,0,3523128,580172,2942956,0,5232,52064,54188,32952,304500,2299532,0,4194300,1070508,3123792,4,0,960,0,0,19104,14,34,123,3,0,0,0,26404,8,12,1,4,0,0,0,0,0,3,1,4,14,35,50,1,7,8
20160903,22:12:03,8,0,4,6,0,0,0,83,11,18,1347,0,356,0,16.66,18.94,15.09,0,0,3523128,580172,2942956,0,5240,52076,54188,32952,304500,2299532,0,4194300,1070496,3123804,0,0,1792,0,0,19104,1,16,148,0,0,0,0,26404,6,12,1,4,0,0,0,0,0,0,1,2,1,18,19,0,3,3
20160903,22:12:08,8,0,2,2,0,0,0,88,10,18,1323,1,358,6,15.33,18.63,15.01,1,0,3523128,582468,2940660,0,5256,52104,54188,35104,306436,2299532,0,4194300,1070296,3124004,10,0,1832,0,0,19100,39,32,563,10,0,0,0,26404,19,26,6,7,0,0,0,0,0,10,3,12,39,33,72,0,5,5
20160903,22:12:13,7,0,2,1,0,0,0,90,9,18,1278,0,356,0,14.10,18.32,14.93,0,0,3523128,581256,2941872,0,5264,52156,54156,32912,305320,2299532,0,4194300,1070164,3124136,6,0,1948,0,0,19104,23,28,163,4,0,0,0,26404,7,12,1,4,0,0,0,0,0,4,2,6,23,34,58,2,6,8
20160903,22:12:18,5,0,2,1,0,0,0,92,8,18,1162,0,356,0,12.97,18.01,14.85,0,0,3523128,581256,2941872,0,5272,52164,54156,32912,305324,2299532,0,4194300,1070160,3124140,0,0,1960,0,0,19104,1,25,190,0,0,0,0,26404,6,10,1,2,0,0,0,0,0,0,1,2,1,26,26,0,5,5
20160903,22:12:23,8,0,2,1,0,0,0,89,10,18,1266,0,356,0,11.93,17.72,14.77,0,0,3523128,581256,2941872,0,5280,52180,54156,32912,305468,2299532,0,4194300,1070016,3124284,5,0,1972,0,0,19104,22,18,163,5,0,0,0,26404,7,11,1,4,0,0,0,0,0,5,2,7,22,20,42,0,3,4
20160903,22:12:28,41,0,10,1,0,0,0,48,51,18,1316,3,367,1,12.02,17.64,14.76,1,11,3523128,1062488,2460640,0,5288,510524,66396,32708,316032,2299532,0,4194300,1069992,3124308,1,0,391932,0,0,475712,4,13725,746,1,0,0,0,27332,7,12,1,4,0,0,0,0,0,1,69,70,4,1719,1723,0,8,8
